id,month,start_day,end_day,name,reading,confidence,category,phase
1,1,1,5,日脚伸び始む,ひあしのびはじむ,A,天文・光,開始
2,1,6,10,蝋梅香立つ,ろうばいかおりたつ,A−,植物,最盛
3,1,11,15,目白花を訪う,めじろはなをとう,A,鳥・植物,最盛
4,1,16,20,寒さ底打つ,さむさそこうつ,B+,気象,最盛
5,1,21,25,梅ほころぶ,うめほころぶ,S,植物,開始
6,1,26,31,水仙香る,すいせんかおる,A,植物,最盛
7,2,1,5,椿咲き初む,つばきさきそむ,A,植物,開始
8,2,6,10,犬ふぐり青む,いぬふぐりあおむ,A,植物,開始
9,2,11,15,蕗の薹土を割る,ふきのとうつちをわる,A−,植物,最盛
10,2,16,20,赤蛙水辺に声立つ,あかがえるみずべにこえたつ,S,両生類,開始・最盛
11,2,21,25,越冬蝶日向に舞う,ふゆごしちょうひなたにまう,A,昆虫,開始
12,2,26,28,鶯初音,うぐいすはつね,A−,鳥,開始
13,3,1,5,土筆野に出づ,つくしのにいづ,S,植物,開始
14,3,6,10,雲雀空に囀る,ひばりそらにさえずる,B+,鳥,開始
15,3,11,15,沈丁花香満つ,じんちょうげかおりみつ,A+,植物,最盛
16,3,16,20,辛夷空に白し,こぶしそらにしろし,A+,植物,開始・最盛
17,3,21,25,桜ほころぶ,さくらほころぶ,S,植物,開始
18,3,26,31,白蝶初めて舞う,しろちょうはじめてまう,A,昆虫,開始
19,4,1,5,菫野を彩る,すみれのをいろどる,A+,植物,最盛
20,4,6,10,欅街を青む,けやきまちをあおむ,S,植物,開始
21,4,11,15,燕街に帰る,つばめまちにかえる,S,鳥,開始
22,4,16,20,躑躅街を染む,つつじまちをそむ,A+,植物,最盛
23,4,21,25,花水木街を飾る,はなみずきまちをかざる,A+,植物,開始・最盛
24,4,26,30,藤花垂る,ふじはなたる,S,植物,最盛
25,5,1,5,黄鶲森に歌う,きびたきもりにうたう,A+,鳥,開始・最盛
26,5,6,10,野茉莉花匂う,えごのはなにおう,A+,植物,最盛
27,5,11,15,青蛙田に声満つ,あおがえるたにこえみつ,S,両生類,開始・最盛
28,5,16,20,時鳥鳴き初む,ほととぎすなきそむ,A+,鳥,開始
